first_name,last_name,phone,email,class_name
Edithe,Leggis,8837797953,edithe.leggis@gmail.om,1
Elwood,Catt,9658031668,elwood.catt@gmail.om,3
Darby,Felgate,8089018945,darby.felgate@gmail.om,7
Dominica,Pyle,8599914171,dominica.pyle@gmail.om,2
Bay,Pencost,8449480372,bay.pencost@gmail.om,8
Lora,Durbann,8745537022,lora.durbann@gmail.om,10
Rand,Bram,8390570665,rand.bram@gmail.om,5
Perceval,Dallosso,9109897578,perceval.dallosso@gmail.om,10
Aleda,Pigram,9123021294,aleda.pigram@gmail.om,10
Burlie,Schustl,9328945037,burlie.schustl@gmail.om,6
Porty,Jori,9436441822,porty.jori@gmail.om,1
Briant,De La Haye,8250967922,briant.de la haye@gmail.om,10
Kalie,Scoble,9635171424,kalie.scoble@gmail.om,1
Catriona,Beaument,9838632332,catriona.beaument@gmail.om,3
Amberly,Handling,9299998446,amberly.handling@gmail.om,1
Dyna,De'Vere - Hunt,8767974338,dyna.de'vere - hunt@gmail.om,5
Janella,Hardaker,9543221194,janella.hardaker@gmail.om,8
Alvin,Wenzel,9902132029,alvin.wenzel@gmail.om,8
Jerrine,Peeters,8015811658,jerrine.peeters@gmail.om,5
